Date,Close,Open,High,Low,Vol.
03/07/2022,1074.08,1066.60,1086.90,1041.82,755.27K
04/07/2022,1151.19,1074.07,1159.76,1045.97,1.35M
05/07/2022,1133.90,1151.19,1170.97,1079.36,1.59M
06/07/2022,1186.45,1133.87,1202.09,1112.02,1.42M
07/07/2022,1238.15,1186.48,1252.69,1163.85,1.18M
08/07/2022,1216.33,1238.10,1275.69,1194.15,1.45M
09/07/2022,1216.94,1216.26,1232.69,1205.26,644.47K
10/07/2022,1167.35,1216.94,1219.26,1155.25,1.12M
11/07/2022,1096.43,1167.35,1170.63,1093.28,1.34M
12/07/2022,1038.56,1096.41,1097.75,1035.82,1.49M
13/07/2022,1115.83,1038.60,1116.51,1012.29,2.48M
14/07/2022,1192.75,1115.80,1210.17,1072.58,1.86M
15/07/2022,1231.03,1192.83,1284.76,1182.22,1.74M
16/07/2022,1356.08,1231.03,1399.16,1192.18,1.77M
17/07/2022,1337.85,1356.00,1385.23,1323.23,1.41M
18/07/2022,1584.77,1337.92,1590.95,1336.75,2.37M
19/07/2022,1543.50,1584.33,1620.35,1494.88,2.18M
20/07/2022,1520.64,1543.45,1618.43,1488.73,1.65M
21/07/2022,1575.68,1520.66,1600.35,1465.93,1.55M
22/07/2022,1534.85,1575.68,1644.99,1520.36,1.43M
23/07/2022,1549.61,1534.85,1596.02,1490.35,1.03M
24/07/2022,1598.19,1549.61,1659.93,1547.70,1.18M
25/07/2022,1438.52,1598.19,1608.06,1438.50,1.65M
26/07/2022,1450.70,1438.76,1451.46,1357.70,1.42M
27/07/2022,1636.01,1449.65,1643.70,1421.17,1.80M
28/07/2022,1726.01,1635.99,1781.39,1597.67,1.87M
29/07/2022,1720.77,1725.97,1764.74,1658.26,1.44M
30/07/2022,1695.97,1720.80,1741.34,1674.42,891.42K
31/07/2022,1680.00,1695.99,1752.94,1667.41,822.23K
01/08/2022,1630.10,1679.98,1702.81,1607.29,959.53K
02/08/2022,1631.48,1630.07,1675.51,1560.17,1.25M
03/08/2022,1618.08,1631.46,1682.23,1591.60,906.08K
04/08/2022,1606.94,1618.07,1661.15,1581.18,881.56K
05/08/2022,1737.71,1607.00,1740.33,1605.71,1.21M
06/08/2022,1690.27,1737.66,1749.33,1687.74,696.11K
07/08/2022,1700.29,1690.29,1728.97,1669.39,530.48K
08/08/2022,1778.42,1700.26,1813.45,1694.69,951.02K
09/08/2022,1702.80,1778.15,1789.55,1668.79,960.58K
10/08/2022,1853.46,1702.80,1881.39,1657.78,1.52M
11/08/2022,1880.28,1853.50,1931.06,1850.72,1.31M
12/08/2022,1957.63,1880.30,1961.83,1856.64,834.69K
13/08/2022,1983.50,1957.62,2018.97,1946.65,798.08K
14/08/2022,1935.10,1983.52,2028.40,1909.19,662.15K
15/08/2022,1900.25,1935.10,2012.02,1873.70,1.09M
16/08/2022,1876.70,1900.08,1914.06,1856.44,725.78K
17/08/2022,1834.18,1876.69,1956.54,1821.00,1.10M
18/08/2022,1846.51,1834.19,1880.22,1822.04,675.27K
19/08/2022,1609.48,1846.52,1846.97,1607.60,1.59M
20/08/2022,1575.60,1609.01,1654.84,1525.51,1.01M
21/08/2022,1618.25,1575.61,1644.88,1563.92,852.07K
22/08/2022,1626.75,1618.21,1627.13,1531.91,1.04M
23/08/2022,1664.89,1626.70,1672.63,1564.37,1.05M
24/08/2022,1656.64,1665.30,1691.25,1606.06,827.20K
25/08/2022,1695.37,1656.64,1720.84,1654.77,677.67K
26/08/2022,1508.08,1695.38,1703.32,1490.67,1.34M
27/08/2022,1490.83,1508.32,1518.14,1449.31,866.82K
28/08/2022,1426.25,1490.88,1507.92,1424.69,633.35K
29/08/2022,1552.60,1426.25,1559.46,1424.33,931.76K
30/08/2022,1523.34,1552.56,1605.30,1475.68,1.14M
31/08/2022,1555.12,1523.39,1617.09,1523.39,1.07M
01/09/2022,1585.48,1554.57,1597.48,1514.75,823.90K
02/09/2022,1575.34,1585.55,1647.50,1547.68,1.04M
03/09/2022,1557.55,1575.31,1581.37,1535.98,378.79K
04/09/2022,1578.89,1557.35,1580.81,1541.16,339.06K
05/09/2022,1617.07,1578.90,1628.77,1557.66,571.75K
06/09/2022,1557.85,1617.40,1686.23,1556.09,1.18M
07/09/2022,1629.51,1557.85,1657.05,1493.19,976.59K
08/09/2022,1634.85,1629.63,1660.56,1595.90,772.84K
09/09/2022,1718.81,1635.33,1743.47,1631.17,969.87K
10/09/2022,1774.38,1718.84,1788.10,1707.81,470.19K
11/09/2022,1766.93,1774.38,1786.73,1722.62,467.42K
12/09/2022,1716.42,1766.99,1782.74,1694.08,727.78K
13/09/2022,1574.47,1716.45,1751.50,1562.30,1.30M
14/09/2022,1637.92,1574.41,1646.09,1556.97,858.28K
15/09/2022,1472.64,1637.89,1653.55,1461.16,1.66M
16/09/2022,1434.01,1472.63,1483.43,1410.90,829.01K
17/09/2022,1468.79,1434.01,1475.05,1409.65,483.78K
18/09/2022,1335.01,1468.76,1469.21,1327.21,934.28K
19/09/2022,1376.00,1334.82,1391.50,1284.50,1.11M
20/09/2022,1323.33,1375.96,1384.39,1315.03,765.14K
21/09/2022,1247.74,1323.34,1388.38,1222.29,1.39M
22/09/2022,1326.44,1247.64,1346.38,1237.96,1.11M
23/09/2022,1327.96,1326.12,1356.74,1264.91,1.16M
24/09/2022,1317.00,1327.91,1348.91,1307.96,559.42K
25/09/2022,1294.26,1317.01,1335.73,1271.87,579.09K
26/09/2022,1337.06,1294.24,1339.17,1279.71,1.05M
27/09/2022,1328.23,1337.07,1399.67,1305.49,1.00M
28/09/2022,1337.37,1328.23,1354.75,1261.29,1.08M
29/09/2022,1336.08,1337.34,1351.61,1289.66,871.66K
30/09/2022,1328.73,1336.05,1372.44,1316.62,866.63K
01/10/2022,1311.80,1328.73,1333.61,1303.22,293.02K
02/10/2022,1275.74,1311.80,1317.41,1272.38,432.45K
03/10/2022,1323.41,1277.02,1329.16,1266.86,604.19K
04/10/2022,1361.48,1323.37,1367.30,1318.87,550.05K
05/10/2022,1352.07,1361.51,1364.03,1317.58,564.42K
06/10/2022,1352.27,1352.07,1383.02,1347.78,680.65K
07/10/2022,1330.99,1352.17,1361.26,1319.17,574.76K
08/10/2022,1315.05,1331.07,1336.69,1304.08,227.70K
09/10/2022,1323.41,1315.08,1328.55,1308.15,210.50K
10/10/2022,1290.04,1323.17,1337.58,1288.68,451.44K
11/10/2022,1279.97,1290.00,1297.59,1269.35,498.63K
12/10/2022,1294.57,1279.97,1304.45,1275.77,418.57K
13/10/2022,1287.34,1294.56,1299.74,1196.63,1.09M
14/10/2022,1296.74,1287.33,1342.01,1284.08,734.03K
15/10/2022,1274.57,1296.74,1301.48,1264.86,321.11K
16/10/2022,1305.95,1274.93,1314.52,1274.66,333.15K
17/10/2022,1331.12,1305.95,1338.39,1296.45,498.15K
18/10/2022,1310.81,1331.40,1341.21,1287.58,625.85K
19/10/2022,1285.32,1310.81,1313.46,1282.44,406.74K
20/10/2022,1282.87,1285.33,1310.47,1272.79,483.19K
21/10/2022,1299.76,1282.87,1306.27,1257.83,525.54K
22/10/2022,1313.64,1299.76,1318.84,1294.61,244.20K
23/10/2022,1363.92,1313.64,1370.91,1301.80,473.61K
24/10/2022,1343.88,1364.19,1369.35,1324.25,665.58K
25/10/2022,1459.60,1343.88,1522.06,1335.38,1.28M
26/10/2022,1566.16,1459.60,1590.23,1458.61,1.43M
27/10/2022,1514.19,1566.18,1575.90,1508.24,1.02M
28/10/2022,1554.47,1514.14,1572.66,1489.99,966.35K
29/10/2022,1619.69,1554.47,1660.13,1548.83,1.05M
30/10/2022,1590.47,1619.67,1638.60,1577.35,542.49K
31/10/2022,1572.89,1590.47,1634.17,1550.72,938.65K
01/11/2022,1579.64,1572.89,1609.10,1564.69,593.31K
02/11/2022,1519.04,1579.59,1618.82,1503.29,1.14M
03/11/2022,1531.08,1518.99,1558.75,1515.75,631.90K
04/11/2022,1645.01,1531.06,1666.17,1528.60,1.07M
05/11/2022,1627.07,1645.03,1664.42,1623.48,404.02K
06/11/2022,1570.86,1626.86,1637.44,1565.79,464.26K
07/11/2022,1567.57,1570.71,1608.06,1547.29,719.30K
08/11/2022,1335.25,1567.54,1576.10,1241.18,2.87M
09/11/2022,1100.84,1335.26,1337.19,1076.29,2.92M
10/11/2022,1299.15,1100.86,1346.92,1089.01,2.19M
11/11/2022,1288.63,1299.21,1307.16,1203.04,1.45M
12/11/2022,1256.29,1288.71,1291.39,1239.34,602.58K
13/11/2022,1221.47,1256.29,1274.24,1205.61,597.25K
14/11/2022,1242.64,1221.47,1289.01,1175.42,1.01M
15/11/2022,1253.45,1242.64,1289.21,1235.39,686.18K
16/11/2022,1206.16,1253.45,1267.62,1188.76,705.31K
17/11/2022,1205.17,1206.16,1227.73,1185.58,567.61K
18/11/2022,1207.31,1206.99,1225.39,1201.47,388.69K
19/11/2022,1217.65,1208.92,1231.15,1207.34,225.46K
20/11/2022,1142.88,1217.65,1226.14,1135.57,564.89K
21/11/2022,1107.46,1142.88,1143.96,1081.96,981.81K
22/11/2022,1139.74,1107.46,1141.58,1077.85,815.18K
23/11/2022,1185.79,1139.74,1189.17,1128.53,688.96K
24/11/2022,1203.77,1185.70,1217.38,1180.91,544.83K
25/11/2022,1198.12,1203.77,1204.75,1172.63,426.96K
26/11/2022,1205.15,1198.12,1229.20,1196.93,413.09K
27/11/2022,1193.38,1205.17,1222.83,1191.09,306.64K
28/11/2022,1167.73,1193.38,1199.06,1151.98,518.17K
29/11/2022,1216.55,1167.73,1226.35,1159.72,549.93K
30/11/2022,1294.41,1216.54,1304.97,1213.44,858.51K
01/12/2022,1276.05,1294.40,1295.82,1263.58,453.59K
02/12/2022,1295.69,1276.05,1295.80,1266.16,393.37K
